@Homem-Aranha: A Nova Série Animada	2003	1664
3	10	dub	11:2272967,7:1493419,17:2272967
@Horimiya	2021	110070
1	1	dub	https://embedplayer2.xyz/cdn/hls/970083e82a4951688eeaff8567e65406/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/45d466453470a2fcdf5d8669f9197b96/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/7dc87017c42142a336d51ac2203cf889/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/4fe8adb5d8a8c6ac2ad3304533757be7/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/ffe33f0a9a3d5c9cee1c0baa43dcd4f2/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/3d148920a022bba1d1bc2aacb561332b/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/e534ee05961e95a740bf5aee7174ec5d/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/c427b14fdd5d7aa55c8caa9e03a2571d/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/bf3804d1e440fa4f195fad45ef116a75/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/b1c6c7a37ba1089b9ee7657c6c3bb4c6/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/4c477d2e7466beb4c19a410f6a068c32/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/69295f026c46df4fa9065a8791d8222d/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/b3f99acd180f317e5819f041d0ed311e/master.txt
@Os Sete Pecados Capitais	2014	62104
1	1	dub	https://embedplayer2.xyz/cdn/hls/032bd8958479137e6a29f85ae22dac3a/master.txt,7:1426372
1	2	dub	https://embedplayer2.xyz/cdn/hls/ada2dd0d2aef46cf6ec4ca64c7943c1d/master.txt,7:1426373
1	3	dub	https://embedplayer2.xyz/cdn/hls/983c5d5f815309f59735834632e1ca65/master.txt,7:1426374
1	4	dub	https://embedplayer2.xyz/cdn/hls/e7eb46a1383c8f49419d2e55b1970208/master.txt,7:1426375
1	5	dub	https://embedplayer2.xyz/cdn/hls/dfc5d0cf6aaec9b42967ee2ed8b9299b/master.txt,7:1426376
1	6	dub	https://embedplayer2.xyz/cdn/hls/a31bcea47feb4a6412a59930185540f9/master.txt,7:1426377
1	7	dub	https://embedplayer2.xyz/cdn/hls/8305c2e366d9c01b53596519b5f29ee3/master.txt,7:1426378
1	8	dub	https://embedplayer2.xyz/cdn/hls/d3a0f470e712eef4ddefaea277470cf1/master.txt,7:1426379
1	9	dub	https://embedplayer2.xyz/cdn/hls/b903d636e37450aa8aced59a5e80a58c/master.txt,7:1426380
1	10	dub	https://embedplayer2.xyz/cdn/hls/63d5f9d7d09d77c675b55103cda4056d/master.txt,7:1426381
1	11	dub	https://embedplayer2.xyz/cdn/hls/62ac5afd376e91ee2a2663e42396f399/master.txt,7:1426382
1	12	dub	https://embedplayer2.xyz/cdn/hls/093af131e9d679396594248d2eb9ae27/master.txt,7:1426383
1	13	dub	https://embedplayer2.xyz/cdn/hls/6bd50ccbb3ebc5059e04290ca1e05a60/master.txt,7:1426384
1	14	dub	https://embedplayer2.xyz/cdn/hls/8cb1d29fa07b8a7fb30d24dd45d8bf9a/master.txt,7:1426385
1	15	dub	https://embedplayer2.xyz/cdn/hls/24c353221fe6d662d53c721eeda31b79/master.txt,7:1426386
1	16	dub	https://embedplayer2.xyz/cdn/hls/ee768b3d6d7d57d8e6ef447979e47497/master.txt,7:1426387
1	17	dub	https://embedplayer2.xyz/cdn/hls/a1668049aff7d4584b5e897566113f54/master.txt,7:1426388
1	18	dub	https://embedplayer2.xyz/cdn/hls/a0b8c9f5353bd83e7fb8096af7bc9779/master.txt,7:1426389
1	19	dub	https://embedplayer2.xyz/cdn/hls/1fab4d3e639122c29eac45c59e77b337/master.txt,7:1426390
1	20	dub	https://embedplayer2.xyz/cdn/hls/7cc9e7a15c8ba657965a46ae20bfc63f/master.txt,7:1426391
1	21	dub	https://embedplayer2.xyz/cdn/hls/146567d90a7c4be2ad53aacdc9b80f9c/master.txt,7:1426392
1	22	dub	https://embedplayer2.xyz/cdn/hls/fd2b6a7a320aeb795888c791a7a4074f/master.txt,7:1426393
1	23	dub	https://embedplayer2.xyz/cdn/hls/e644cbb01fbf6d15269c6ae0b5a6782b/master.txt,7:1426394
1	24	dub	https://embedplayer2.xyz/cdn/hls/854e7977a5c3e850a76a527f6b260096/master.txt,7:1426395
2	1	dub	https://embedplayer2.xyz/cdn/hls/4b06a2e554a6a3647b37e5d81f7d3da5/master.txt,7:1426396
2	2	dub	https://embedplayer2.xyz/cdn/hls/8769f06abbc951ee081d40e2db3b778d/master.txt,7:1426397
2	3	dub	https://embedplayer2.xyz/cdn/hls/3eb2cc0b4ff00530f6332b4543bf98b8/master.txt,7:1426398
2	4	dub	https://embedplayer2.xyz/cdn/hls/e4f678a0cad94924f4a51aa740bd87d8/master.txt,7:1426399
2	5	dub	https://embedplayer2.xyz/cdn/hls/74e3995cb2639e9170117258de1d3bc8/master.txt,7:1426400
2	6	dub	https://embedplayer2.xyz/cdn/hls/6542ea94b8dd9c12e76936bd61c0d4e4/master.txt,7:1426401
2	7	dub	https://embedplayer2.xyz/cdn/hls/29e2ad8111c47d24ad5f303ee3a9676c/master.txt,7:1426402
2	8	dub	https://embedplayer2.xyz/cdn/hls/d4e8096135abca0b2369a4406093a44b/master.txt,7:1426403
2	9	dub	https://embedplayer2.xyz/cdn/hls/6607a85f2a8c080992a22a58d246b72d/master.txt,7:1426404
2	10	dub	https://embedplayer2.xyz/cdn/hls/081fa97696a870e31022b1557aa6e94f/master.txt,7:1426405
2	11	dub	https://embedplayer2.xyz/cdn/hls/59749571f8717403b69b9a973a643f09/master.txt,7:1426406
2	12	dub	https://embedplayer2.xyz/cdn/hls/00883169fd5b17ded80ac8acf16f6a49/master.txt,7:1426407
2	13	dub	https://embedplayer2.xyz/cdn/hls/02c442979de70aaafab563f89d6ee702/master.txt,7:1426408
2	14	dub	https://embedplayer2.xyz/cdn/hls/ba137eb96469717bdd7e407830c1df9a/master.txt,7:1426409
2	15	dub	https://embedplayer2.xyz/cdn/hls/e3e05948d4cda21a58b4f4c4d71728b2/master.txt,7:1426410
2	16	dub	https://embedplayer2.xyz/cdn/hls/29481825113431393fdb4838372d1441/master.txt,7:1426411
2	17	dub	https://embedplayer2.xyz/cdn/hls/94e1fce0ac105e35a33ed620850bd834/master.txt,7:1426412
2	18	dub	https://embedplayer2.xyz/cdn/hls/f5325f437b1b31d799c664ca6efe5691/master.txt,7:1426413
2	19	dub	https://embedplayer2.xyz/cdn/hls/4100afd0dd34af63de4048fffa494b64/master.txt,7:1426414
2	20	dub	https://embedplayer2.xyz/cdn/hls/59a1f5946f8e9fa854b651a306db36d0/master.txt,7:1426415
2	21	dub	https://embedplayer2.xyz/cdn/hls/0cc731a06887884203664af4b5ce9dea/master.txt,7:1426416
2	22	dub	https://embedplayer2.xyz/cdn/hls/aed23b400fc7d4ea69eeaa583634ea89/master.txt,7:1426417
2	23	dub	https://embedplayer2.xyz/cdn/hls/5048bca591433675850c0dc6ed686fc0/master.txt,7:1426418
2	24	dub	https://embedplayer2.xyz/cdn/hls/345366aaf4930e4f8b5baede41a4f406/master.txt,7:1426419
3	1	dub	https://embedplayer2.xyz/cdn/hls/c819c149b5a234dc48b6d57e6f57fe73/master.txt,7:1426420
3	2	dub	https://embedplayer2.xyz/cdn/hls/1da344ae346f05496c9d55da10b02f4f/master.txt,7:1426421
3	3	dub	https://embedplayer2.xyz/cdn/hls/8448b60dcb4c2d607be23ba89967f802/master.txt,7:1426422
3	4	dub	https://embedplayer2.xyz/cdn/hls/510346597dbde47b2600fb228c667162/master.txt,7:1426423
3	5	dub	https://embedplayer2.xyz/cdn/hls/b2c8f1b3f1874aa79ac4a0ad9fdf3bf0/master.txt,7:1426424
3	6	dub	https://embedplayer2.xyz/cdn/hls/21255900d8635e489a58d7d598525191/master.txt,7:1426425
3	7	dub	https://embedplayer2.xyz/cdn/hls/703173111c2da726a5f8f9fbbddb197d/master.txt,7:1426426
3	8	dub	https://embedplayer2.xyz/cdn/hls/0ac757884f5d0181bd166cf22e5c612f/master.txt,7:1426427
3	9	dub	https://embedplayer2.xyz/cdn/hls/3d6710d74950cd61c25706179aae6905/master.txt,7:1426428
3	10	dub	https://embedplayer2.xyz/cdn/hls/7e70ef3f49ffa693a95ea1a43cbd3b09/master.txt,7:1426429
3	11	dub	https://embedplayer2.xyz/cdn/hls/9dc70fb919175dae66b05d4876e8b336/master.txt,7:1426430
3	12	dub	https://embedplayer2.xyz/cdn/hls/11b3ee0c9713051b208690071938f73d/master.txt,7:1426431
3	13	dub	https://embedplayer2.xyz/cdn/hls/9e91641cb0602c617f91a218d555e948/master.txt,7:1426432
3	14	dub	https://embedplayer2.xyz/cdn/hls/7f86cb21e19c878fdf59e6dfe727c70f/master.txt,7:1426433
3	15	dub	https://embedplayer2.xyz/cdn/hls/e6932ab1245a288c555751c4cf32017e/master.txt,7:1426434
3	16	dub	https://embedplayer2.xyz/cdn/hls/6b8fb58b3135982c7079555276a24536/master.txt,7:1426435
3	17	dub	https://embedplayer2.xyz/cdn/hls/9580f2d6561ba2b2996c3cfa1040bdc5/master.txt,7:1426436
3	18	dub	https://embedplayer2.xyz/cdn/hls/cd8e5d0881306f6292a93f6b48e2f5fd/master.txt,7:1426437
3	19	dub	https://embedplayer2.xyz/cdn/hls/d5ec33b0e4587ff48eebfbcda3ca3164/master.txt,7:1426438
3	20	dub	https://embedplayer2.xyz/cdn/hls/b9eef17d61e9ef03c90d6c685f63de89/master.txt,7:1426439
3	21	dub	https://embedplayer2.xyz/cdn/hls/7dc06b921e6d3092551656f7c8dd4159/master.txt,7:1426440
3	22	dub	https://embedplayer2.xyz/cdn/hls/3a352d512d43dd0fbdf3f2a81303dd09/master.txt,7:1426441
3	23	dub	https://embedplayer2.xyz/cdn/hls/f86e262497da83c6d1a88ea3021b8752/master.txt,7:1426442
3	24	dub	https://embedplayer2.xyz/cdn/hls/acda3180fadf1ef049d2df03b8961012/master.txt,7:1426443
4	1	dub	https://embedplayer2.xyz/cdn/hls/d73e0e72235a5b8adc1e218cb91deaaa/master.txt,7:1426444
4	2	dub	https://embedplayer2.xyz/cdn/hls/f0e948dc9a729ddf5f273ae85adc3b9c/master.txt,7:1426445
4	3	dub	https://embedplayer2.xyz/cdn/hls/156181acda09adbaed22c5a4fc95ae46/master.txt,7:1426446
4	4	dub	https://embedplayer2.xyz/cdn/hls/8779e4f3d9515f707a785567a8862019/master.txt,7:1426447
4	5	dub	https://embedplayer2.xyz/cdn/hls/4c061c613b332ac11ebb57dc6e88265b/master.txt,7:1426448
4	6	dub	https://embedplayer2.xyz/cdn/hls/c86245f86249ea62d95af898aa7df001/master.txt,7:1426449
4	7	dub	https://embedplayer2.xyz/cdn/hls/958e1d4b34567436c4ce7d602b48d758/master.txt,7:1426450
