@A Juíza do Inferno	2024	235577
1	6	dub	https://embedplayer2.xyz/cdn/hls/15613ac91193e2ba9b04b114b18987cc/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/c2f8e7a5db6d2227449b39c08f0ea235/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/460ccb751727e638b71dcb15f148c2ef/master.txt
2	1	dub	https://embedplayer2.xyz/cdn/hls/632d22efaf0d0884d31bd2da644bf269/master.txt
2	2	dub	https://embedplayer2.xyz/cdn/hls/d45d12ec600537672743f497ba59ac53/master.txt
2	3	dub	https://embedplayer2.xyz/cdn/hls/eade7e0f5ba094acc4126b849b2c096d/master.txt
2	4	dub	https://embedplayer2.xyz/cdn/hls/3f9a2b9826b40abe178d1bca37a966f0/master.txt
2	5	dub	https://embedplayer2.xyz/cdn/hls/7374c43d1e62b928666c7234ad592494/master.txt
2	6	dub	https://embedplayer2.xyz/cdn/hls/b4b88b3732566fbe6e5c9141477ec7b0/master.txt
2	7	dub	https://embedplayer2.xyz/cdn/hls/c920eac0cf623a3c6e116aaf14b86eab/master.txt
@Alice in Borderland	2020	110316
1	1	dub	https://embedplayer2.xyz/cdn/hls/142dda44f8a77dcc3f05fbf20a39bcd8/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/f2024fab65ba607ecdf6d54385fbb022/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/11eb1df2c3e8845ac8724c361f079ff4/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/e323ff60f636eab9058d551da8a621a2/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/d581e04bce9b00e55dae8f08e18b3056/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/ea6531985effb7524657020055bc51e3/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/5a9a088065c89cb9b51ded67ba30dd76/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/6e032071c4b3b3aff25c323b2f98ec9f/master.txt
2	1	dub	https://embedplayer2.xyz/cdn/hls/7a40a3028db3bbf7a79b04cfe00fe4b4/master.txt
2	2	dub	https://embedplayer2.xyz/cdn/hls/17c27d715ecf4206a4762689972731f1/master.txt
2	4	dub	https://embedplayer2.xyz/cdn/hls/ca992c094286156859be5c1bc51a4201/master.txt
2	5	dub	https://embedplayer2.xyz/cdn/hls/233119e0a3f05feb865fd874bf2fd41a/master.txt
2	6	dub	https://embedplayer2.xyz/cdn/hls/6949cecc25da7606d549b3faec376747/master.txt
2	8	dub	https://embedplayer2.xyz/cdn/hls/037c63d8963287f185f997666b7ffb60/master.txt
3	1	dub	https://embedplayer2.xyz/cdn/hls/c7d9de0e5db85ef68899ac0f7c0a6cc4/master.txt
3	2	dub	https://embedplayer2.xyz/cdn/hls/e73cf652cd5aaf892b8412f60a751d17/master.txt
3	3	dub	https://embedplayer2.xyz/cdn/hls/fa61deac91e4c3991b38f644692cf989/master.txt
3	4	dub	https://embedplayer2.xyz/cdn/hls/2d6eaadeeadfc2408d7b096b9c3aea73/master.txt
@Desgraça ao seu Dispor	2021	116386
1	1	dub	https://embedplayer2.xyz/cdn/hls/e5c36dbe8328115d742039cce7c78007/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/2c3c5c779a8360105e75e0e8151042d8/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/93f09e17c254eae1a5efa5fe4c0b7e7d/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/7b84e17947c6397d5bca756e8f80fd2b/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/4429c95f966aedb5f92e99c328d3c1ca/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/4401cc6c6dd5cdf53a524d1f503ab71e/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/7663f7d156a29b723b563c57cacf7c08/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/e877646aba0c9779893f13da7098b858/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/dd2974641318cae9010a50416e3b3437/master.txt
1	15	dub	https://embedplayer2.xyz/cdn/hls/47cb66ed182c45019674dedf97b8b85c/master.txt
@Pergunte às Estrelas	2025	154822
1	2	dub	https://embedplayer2.xyz/cdn/hls/828607d71490e37cec10f8e3aa516984/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/4bc54ff51adbe08ed6fb6c650a784c61/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/7f88d1e7bb6ae234f2140615490200e0/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/07856ec58332ecc30d8986c117dd26a4/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/6ec9a7110ec90dc173d4a221ce6a7a22/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/614559b3d4b7221bfae1f1cdfb6b3917/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/927ce9fa960b1a38f0dc3257dcf6d73e/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/862828c5f0e54da67bfe6a931f596e2b/master.txt
@Com Carinho, Kitty	2023	195670
1	2	dub	https://embedplayer2.xyz/cdn/hls/881590d6609033de1196c5ed1a14f288/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/665a5239b8b673276624cbea2b1910ed/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/057ec8601ea7fc053e01b332b1a1dd78/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/c69b9b8c38bfd62b81196b720e337ed9/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/0049f7694cd26c06943eab6ad7f0175c/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/ab882a3493239a1cd59ec3f026442e92/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/6fe3c2ca862d12d0ce0e17f50c9183ad/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/c7852075469fbd607fbf6afeedf8c3b5/master.txt
2	1	dub	https://embedplayer2.xyz/cdn/hls/3dbf65d4a0293e74b6d5457c5e58fd86/master.txt
2	2	dub	https://embedplayer2.xyz/cdn/hls/66e8631423aa4b2a495d880e066cbb20/master.txt
2	4	dub	https://embedplayer2.xyz/cdn/hls/169d9096e58db7694a52d0c36870e467/master.txt
2	5	dub	https://embedplayer2.xyz/cdn/hls/84e39ee947a7fb2cbfbfb45c86c8cceb/master.txt
2	6	dub	https://embedplayer2.xyz/cdn/hls/5fe67b6837bfa153c74e4d8266a0d210/master.txt
2	8	dub	https://embedplayer2.xyz/cdn/hls/cf4ec050bf16711763266ef4402dbaa6/master.txt
3	1	dub	https://embedplayer2.xyz/cdn/hls/6c94dfb76991580d3f7f861cc21f3e4f/master.txt
3	2	dub	https://embedplayer2.xyz/cdn/hls/7fc1f8aba877eb72510d22f39122b539/master.txt
3	3	dub	https://embedplayer2.xyz/cdn/hls/b3a5ae8fef9b634850c28475797f5a7b/master.txt
3	4	dub	https://embedplayer2.xyz/cdn/hls/f0e3956c4a25f63d0d573de3ae09e04c/master.txt
3	6	dub	https://embedplayer2.xyz/cdn/hls/d5b9f344fb1cf15532239c2e0be49d64/master.txt
3	7	dub	https://embedplayer2.xyz/cdn/hls/cfe71a3139898bc91d1d7388bd6c6cb7/master.txt
@Sorriso Real	2023	198004
1	2	dub	https://embedplayer2.xyz/cdn/hls/ba65ed5ef691933ab22b760a8d774675/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/c1f0ff8139c33ec272766aded1a302dd/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/a11b3c3aac011736b91270e19fc51086/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/6916973db60f6cee91136087622cda95/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/83db8929c2578e07f8a74d12eb341732/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/c5a68fb5554cb0cfe8b003c7efb6ef7d/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/aa15cb5751e9f12751d45fa9a8424914/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/78e7311bc8f20a4c1c09c9f5e1b3d467/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/097580028ffca0156393774ab9638b4a/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/1ee5e160b88c1782a8b0ad6744a07c15/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/fb5f8d2898554a7a77b4ca3b1ce5cd21/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/a74dede316ea2e83b6d1ba5da664aeef/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/e77f13a6857d2879461d10e58ad6a109/master.txt
