330440	1	1
330440	1	2
330440	1	3
330440	1	4
330440	1	5
330440	1	6
330440	1	7
330440	1	8
330440	1	9
330440	1	10
330440	1	11
330440	1	12
330440	1	13
330440	1	14
330440	1	15
330440	1	16
330440	1	17
330440	1	18
235577	1	1
235577	1	2
235577	1	3
235577	1	4
235577	1	5
235577	1	6
235577	1	7
235577	1	8
235577	1	9
235577	1	10
235577	1	11
235577	1	12
235577	1	13
235577	1	14
291496	1	1
291496	1	2
291496	1	3
291496	1	4
291496	1	5
291496	1	6
291496	1	7
291496	1	8
291496	1	9
291496	1	10
291496	1	11
291496	1	12
301418	1	1
301418	1	2
301418	1	3
301418	1	4
323005	1	1
326064	1	1
326064	1	2
326064	1	3
296140	1	1
296140	1	2
294095	1	1
294095	1	2
294095	1	3
283780	1	1
283780	1	2
283780	1	3
283780	1	4
283780	1	5
283780	1	6
283780	1	7
283780	1	8
283780	1	9
283780	1	10
283780	1	11
283780	1	12
283780	1	13
283780	1	14
283780	1	15
283780	1	16
283780	1	17
283780	1	18
283780	1	19
283780	1	20
283780	1	21
283780	1	22
283780	1	23
283780	1	24
283780	1	25
283780	1	26
283780	1	27
283780	1	28
283780	1	29
289116	1	1
289116	1	2
289116	1	3
289116	1	4
289116	1	5
289116	1	6
289116	1	7
289116	1	8
289116	1	9
289116	1	10
289116	1	11
289116	1	12
289116	1	13
289116	1	14
271016	1	1
271016	1	2
271016	1	3
271016	1	4
271016	1	5
271016	1	6
271016	1	7
271016	1	8
271016	1	9
271016	1	10
271016	1	11
271016	1	12
271016	1	13
271016	1	14
271016	1	15
271016	1	16
271016	1	17
271016	1	18
271016	1	19
271016	1	20
323579	1	1
289356	1	1
289356	1	2
289356	1	3
289356	1	4
289356	1	5
289356	1	6
310326	1	1
310326	1	2
310326	1	3
295599	1	1
295599	1	2
295599	1	3
295599	1	4
295599	1	5
295599	1	6
295599	1	7
295599	1	8
295599	1	9
295599	1	10
295599	1	11
295599	1	12
295599	1	13
295599	1	14
295599	1	15
215986	1	1
215986	1	2
215986	1	3
215986	1	4
215986	1	5
215986	1	6
215986	1	7
215986	1	8
215986	1	9
325022	1	1
326063	1	1
326063	1	2
326063	1	3
326063	1	4
289139	1	1
289139	1	2
289139	1	3
289139	1	4
289139	1	5
289139	1	6
289139	1	7
289139	1	8
289139	1	9
289139	1	10
289139	1	11
301412	1	1
301412	1	2
301412	1	3
301412	1	4
301412	1	5
301412	1	6
301412	1	7
301412	1	8
301412	1	9
301412	1	10
301412	1	11
301412	1	12
322570	1	1
322570	1	2
322570	1	3
322570	1	4
323563	1	1
323563	1	2
323563	1	3
323563	1	4
279323	1	1
279323	1	2
279323	1	3
279323	1	4
279323	1	5
279323	1	6
279323	1	7
279323	1	8
298610	1	1
298610	1	2
298610	1	3
298610	1	4
298610	1	5
298610	1	6
298610	1	7
298610	1	8
298610	1	9
298610	1	10
298610	1	11
298610	1	12
246748	1	1
246748	1	2
246748	1	3
246748	1	4
203344	1	1
203344	1	2
203344	1	3
203344	1	4
203344	1	5
203344	1	6
203344	1	7
203344	1	8
203344	1	9
203344	1	10
203344	1	11
203344	1	12
203344	1	13
203344	1	14
203344	1	15
203344	1	16
296003	1	1
296003	1	2
296003	1	3
296003	1	4
296003	1	5
296003	1	6
296003	1	7
296003	1	8
296003	1	9
296003	1	10
296003	1	11
296003	1	12
296003	1	13
297712	1	1
297712	1	2
297712	1	3
297712	1	4
297712	1	5
297712	1	6
297712	1	7
297712	1	8
297712	1	9
297712	1	10
297712	1	11
297712	1	12
295558	1	1
295558	1	2
295558	1	3
295558	1	4
295558	1	5
295558	1	6
295558	1	7
295558	1	8
295558	1	9
295558	1	10
